LABELS
SEPARATOR TAB
DATA
Aer_XP_057461131.1	A. eriantha ALMT1
Vcor_VaccDscaff28-snap-gene-4.47-mRNA-1	V. corymbosum ALMT9
Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT6
Vmic_vmicro01063-RA_Vaccinium_microcarpum_v1	V. microcarpum ALMT7
Vduc_GWHPDOBL006900	V. duclouxii ALMT5
Csin_XP_028104754.1	C. sinensis ALMT9
Mdo_XP_008390303.4	M. domestica ALMT12
Mdo_XP_028948087.2	M. domestica ALMT13
Mdo_XP_017188365.3	M. domestica ALMT14
Vvin_XP_002273129.3	V. vinifera ALMT6
Aer_XP_057466883.1	A. eriantha ALMT14
Aer_XP_057505826.1	A. eriantha ALMT15
Rsim_KAF7146936.1	R. simsii ALMT8
Rsim_KAF7147369.1	R. simsii ALMT9
Vcor_VaccDscaff33-augustus-gene-72.29-mRNA-1	V. corymbosum ALMT10
Vdar_KAH7855228.1	V. darrowii ALMT5
Vduc_GWHPDOBL009662	V. duclouxii ALMT6
Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT7
Csin_XP_028068065.2	C. sinensis ALMT10
Aer_XP_057497741.1	A. eriantha ALMT16
Aer_XP_057512530.1	A. eriantha ALMT17
Ath_NP_001327288.1	A. thaliana ALMT7
Mdo_XP_008345100.2	M. domestica ALMT15
Mdo_XP_008360621.3	M. domestica ALMT16
Vvin_XP_002264700.2	V. vinifera ALMT7
Aer_XP_057483129.1	A. eriantha ALMT18
Csin_XP_028110861.1	C. sinensis ALMT11
Aer_XP_057483564.1	A. eriantha ALMT19
Csin_XP_028110859.2	C. sinensis ALMT12
Mdo_XP_008338598.2	M. domestica ALMT17
Mdo_XP_008361562.1	M. domestica ALMT18
Mdo_XP_008344380.3	M. domestica ALMT19
Mdo_XP_070664908.1	M. domestica ALMT20
Vvin_XP_002262763.1	V. vinifera ALMT8
Vvin_XP_002274847.2	V. vinifera ALMT9
Ath_NP_001324626.1	A. thaliana ALMT8
Ath_NP_180292.1	A. thaliana ALMT9
Ath_NP_172319.1	A. thaliana ALMT10
Ath_NP_172320.1	A. thaliana ALMT11
Csin_XP_082760673.1	C. sinensis ALMT13
Mdo_XP_008361572.2	M. domestica ALMT21
Vvin_XP_002279322.1	V. vinifera ALMT10
Aer_XP_057510948.1	A. eriantha ALMT20
Vcor_VaccDscaff25-augustus-gene-50.33-mRNA-1	V. corymbosum ALMT11
Vdar_KAH7835189.1	V. darrowii ALMT6
Vduc_GWHPDOBL014285	V. duclouxii ALMT7
Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT8
Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1	V. microcarpum ALMT8
Csin_XP_028083526.2	C. sinensis ALMT14
Csin_XP_028109838.2	C. sinensis ALMT15
Ath_NP_001032019.1	A. thaliana ALMT12
Ath_NP_001119385.1	A. thaliana ALMT13
Ath_NP_199473.1	A. thaliana ALMT14
Ath_NP_199472.1	A. thaliana ALMT15
Ath_NP_193531.1	A. thaliana ALMT16
Mdo_XP_008341114.2	M. domestica ALMT22
Mdo_XP_008373555.3	M. domestica ALMT23
Vvin_XP_002278594.2	V. vinifera ALMT11
Rsim_KAF7137314.1	R. simsii ALMT10
Vcor_VaccDscaff22-snap-gene-63.37-mRNA-1	V. corymbosum ALMT12
Vdar_KAH7864007.1	V. darrowii ALMT7
Vduc_GWHPDOBL010968	V. duclouxii ALMT8
Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT9
Vvin_XP_010652148.1	V. vinifera ALMT12
Mdo_XP_008350071.2	M. domestica ALMT24
Mdo_XP_008386509.1	M. domestica ALMT25
Mdo_XP_008363698.4	M. domestica ALMT26
Aer_XP_057473816.1	A. eriantha ALMT21
Aer_XP_057509178.1	A. eriantha ALMT22
Rsim_KAF7153641.1	R. simsii ALMT11
Vcor_VaccDscaff46-augustus-gene-185.20-mRNA-1	V. corymbosum ALMT13
Vdar_KAH7864239.1	V. darrowii ALMT8
Vduc_GWHPDOBL013499	V. duclouxii ALMT9
Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT10
Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1	V. microcarpum ALMT9
Csin_XP_028107667.2	C. sinensis ALMT16
Csin_XP_082761533.1	C. sinensis ALMT17
Aer_XP_057484025.1	A. eriantha ALMT23
