Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.8023	NA	NA	2.21699e-20	1314	308.435	1005.56	NA	737	241.583	495.417	NA	NA	0.379246	1:1:1:1:1:1	0.304126(0.33954:0.26506:0.307777)	NA	NA	NA	NA
Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.762928	2.21521	0.344404	4.41938e-13	1293	309.824	983.176	NA	691	220.25	470.75	NA	NA	1.11092	1:1:1:1:1:1	0.267981(0.307777:0.230559:0.265608)	NA	NA	NA	NA
Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.693126	1.93039	0.359059	8.68744e-14	1308	304.914	1003.09	NA	665	211.25	453.75	NA	NA	0.981551	1:1:1:1:1:1	0.257393(0.299562:0.224535:0.248083)	NA	NA	NA	NA
Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.734022	NA	NA	7.13199e-25	1398	328.363	1069.64	NA	758	257.25	500.75	NA	NA	0.326734	1:1:1:1:1:1	0.282037(0.329135:0.248083:0.268894)	NA	NA	NA	NA
Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.405351	4.63054	0.0875385	3.32637e-45	1413	332.025	1080.98	NA	587	248.5	338.5	NA	NA	1.39818	1:1:1:1:1:1	0.2751(0.307229:0.235487:0.282585)	NA	NA	NA	NA
Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.80119	2.93449	0.273025	2.35949e-14	1308	305.211	1002.79	NA	718	224.333	493.667	NA	NA	1.29898	1:1:1:1:1:1	0.269989(0.314348:0.236583:0.259036)	NA	NA	NA	NA
Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.685191	2.08387	0.328807	9.96305e-15	1287	298.55	988.45	NA	654	210	444	NA	NA	1.00965	1:1:1:1:1:1	0.248813(0.291347:0.214677:0.240416)	NA	NA	NA	NA
Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.959448	NA	NA	1.55788e-12	1377	328.326	1048.67	NA	816	248.333	567.667	NA	NA	0.492246	1:1:1:1:1:1	0.306316(0.334064:0.278751:0.306134)	NA	NA	NA	NA
Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.874716	NA	NA	1.56562e-17	1338	321.588	1016.41	NA	775	250.167	524.833	NA	NA	0.424128	1:1:1:1:1:1	0.270172(0.3023:0.24425:0.263965)	NA	NA	NA	NA
Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.68996	NA	NA	1.66936e-22	1347	314.512	1032.49	NA	704	238.25	465.75	NA	NA	0.29537	1:1:1:1:1:1	0.259584(0.294085:0.238226:0.24644)	NA	NA	NA	NA
Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.922778	2.74708	0.335913	1.87527e-10	1332	314.629	1017.37	NA	770	229.917	540.083	NA	NA	1.35369	1:1:1:1:1:1	0.284228(0.323658:0.261774:0.267251)	NA	NA	NA	NA
Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.64354	4.00079	0.160853	1.75011e-25	1476	351.026	1124.97	NA	748	262	486	NA	NA	1.44197	1:1:1:1:1:1	0.277291(0.301752:0.249179:0.280942)	NA	NA	NA	NA
Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.948691	2.97618	0.318762	1.59808e-10	1365	320.051	1044.95	NA	798	235.5	562.5	NA	NA	1.42407	1:1:1:1:1:1	0.27218(0.308872:0.250274:0.257393)	NA	NA	NA	NA
Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.699182	NA	NA	1.4947e-22	1341	314.424	1026.58	NA	706	239.167	466.833	NA	NA	0.300776	1:1:1:1:1:1	0.251004(0.285871:0.228368:0.238773)	NA	NA	NA	NA
Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.608315	NA	NA	1.16569e-30	1560	371.149	1188.85	NA	775	279.583	495.417	NA	NA	0.225671	1:1:1:1:1:1	0.311062(0.337349:0.27437:0.321468)	NA	NA	NA	NA
Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.736674	2.96501	0.248456	9.40034e-17	1317	308.249	1008.75	NA	700	226.75	473.25	NA	NA	1.25823	1:1:1:1:1:1	0.300475(0.329135:0.268346:0.303943)	NA	NA	NA	NA
Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.314644	3.23098	0.0973835	3.34485e-65	1650	383.045	1266.96	NA	609	283.417	325.583	NA	NA	0.991667	1:1:1:1:1:1	0.325119(0.358708:0.291895:0.324754)	NA	NA	NA	NA
Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.805098	NA	NA	1.38578e-18	1530	363.142	1166.86	NA	849	273	576	NA	NA	0.376662	1:1:1:1:1:1	0.318182(0.336802:0.279299:0.338445)	NA	NA	NA	NA
Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.226571	1.88035	0.120494	1.00431e-72	1692	393.516	1298.48	NA	525	271.083	253.917	NA	NA	0.611199	1:1:1:1:1:1	0.31307(0.343921:0.280394:0.314896)	NA	NA	NA	NA
Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.82687	NA	NA	2.86506e-25	1335	312.98	1022.02	NA	769	257	512	NA	NA	0.398576	1:1:1:1:1:1	0.291895(0.32092:0.258488:0.296276)	NA	NA	NA	NA
Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.68229	NA	NA	3.03683e-22	1287	308.068	978.932	NA	672	233.417	438.583	NA	NA	0.279602	1:1:1:1:1:1	0.26433(0.297371:0.233844:0.261774)	NA	NA	NA	NA
Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.62117	NA	NA	7.48682e-30	1512	357.438	1154.56	NA	759	271.333	487.667	NA	NA	0.237924	1:1:1:1:1:1	0.288974(0.326944:0.257393:0.282585)	NA	NA	NA	NA
Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.709227	2.22496	0.31876	3.66761e-17	1476	356.109	1119.89	NA	767	253.333	513.667	NA	NA	1.07492	1:1:1:1:1:1	0.282037(0.305038:0.244797:0.296276)	NA	NA	NA	NA
Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.589369	4.02425	0.146455	1.71361e-30	1545	364.593	1180.41	NA	754	272.167	481.833	NA	NA	1.39994	1:1:1:1:1:1	0.276926(0.312158:0.245893:0.272727)	NA	NA	NA	NA
Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.779192	NA	NA	3.28339e-18	1263	298.505	964.495	NA	696	228.583	467.417	NA	NA	0.358687	1:1:1:1:1:1	0.25575(0.289157:0.223987:0.254107)	NA	NA	NA	NA
Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.759935	NA	NA	1.3097e-20	1314	306.439	1007.56	NA	718	236.667	481.333	NA	NA	0.349499	1:1:1:1:1:1	0.278386(0.318729:0.251369:0.26506)	NA	NA	NA	NA
Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.611231	NA	NA	3.90837e-27	1380	325.405	1054.59	NA	686	245.167	440.833	NA	NA	0.231301	1:1:1:1:1:1	0.271449(0.296824:0.238773:0.278751)	NA	NA	NA	NA
Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.715083	NA	NA	1.0937e-24	1299	302.67	996.33	NA	698	238.75	459.25	NA	NA	0.315465	1:1:1:1:1:1	0.266338(0.303943:0.239869:0.255203)	NA	NA	NA	NA
Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.506702	2.99798	0.169014	1.03191e-30	1338	310.253	1027.75	NA	607	228.417	378.583	NA	NA	1.08438	1:1:1:1:1:1	0.245162(0.280942:0.217963:0.236583)	NA	NA	NA	NA
Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.754201	3.55061	0.212414	1.91357e-19	1500	353.104	1146.9	NA	808	262.5	545.5	NA	NA	1.41248	1:1:1:1:1:1	0.296093(0.326396:0.262322:0.299562)	NA	NA	NA	NA
Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.311143	1.9688	0.158037	9.12933e-55	1662	384.879	1277.12	NA	593	267.75	325.25	NA	NA	0.695016	1:1:1:1:1:1	0.290982(0.333516:0.263417:0.276013)	NA	NA	NA	NA
Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.792533	NA	NA	1.37622e-20	1356	316.084	1039.92	NA	755	246.167	508.833	NA	NA	0.374694	1:1:1:1:1:1	0.269806(0.310515:0.241512:0.257393)	NA	NA	NA	NA
Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.755149	NA	NA	2.80249e-24	1527	357.478	1169.52	NA	833	276.333	556.667	NA	NA	0.34426	1:1:1:1:1:1	0.284045(0.31161:0.250821:0.289704)	NA	NA	NA	NA
Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.632438	2.36782	0.267098	2.24726e-20	1371	320.527	1050.47	NA	679	230.167	448.833	NA	NA	1.03815	1:1:1:1:1:1	0.26287(0.288609:0.228916:0.271084)	NA	NA	NA	NA
Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.792161	NA	NA	1.48907e-19	1323	306.488	1016.51	NA	735	237.75	497.25	NA	NA	0.376987	1:1:1:1:1:1	0.257758(0.295728:0.230011:0.247536)	NA	NA	NA	NA
