Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1-Vmic_vmicro07721-RA_Vaccinium_microcarpum_v1	NG	0.518711	NA	NA	5.97262e-24	933	223.022	709.978	NA	434	168.167	265.833	NA	NA	0.155682	1:1:1:1:1:1	0.239633(0.273923:0.211722:0.233254)	NA	NA	NA	NA
Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1-Vmic_vmicro21395-RA_Vaccinium_microcarpum_v1	NG	0.513035	NA	NA	2.2481e-24	930	222.868	707.132	NA	431	168.25	262.75	NA	NA	0.150446	1:1:1:1:1:1	0.264155(0.282297:0.239234:0.270933)	NA	NA	NA	NA
Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1-Vmic_vmicro08677-RA_Vaccinium_microcarpum_v1	NG	0.457941	NA	NA	8.17088e-22	699	166.019	532.981	NA	309	126.333	182.667	NA	NA	0.111667	1:1:1:1:1:1	0.211722(0.243421:0.187201:0.204545)	NA	NA	NA	NA
Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1-Vmic_vmicro05697-RA_Vaccinium_microcarpum_v1	NG	0.745133	3.0422	0.244932	1.37568e-11	870	208.16	661.84	NA	466	153.417	312.583	NA	NA	1.29474	1:1:1:1:1:1	0.19996(0.224282:0.183014:0.192584)	NA	NA	NA	NA
Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1-Vmic_vmicro07721-RA_Vaccinium_microcarpum_v1	NG	0.800519	2.5695	0.311547	2.47558e-11	1080	255.072	824.928	NA	591	185.083	405.917	NA	NA	1.21831	1:1:1:1:1:1	0.247608(0.284689:0.226077:0.232057)	NA	NA	NA	NA
Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1-Vmic_vmicro21395-RA_Vaccinium_microcarpum_v1	NG	0.783294	2.64015	0.296685	1.75805e-11	1020	240.793	779.207	NA	554	175.25	378.75	NA	NA	1.22164	1:1:1:1:1:1	0.272129(0.293062:0.253589:0.269737)	NA	NA	NA	NA
Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1-Vmic_vmicro08677-RA_Vaccinium_microcarpum_v1	NG	0.768532	3.01009	0.255318	3.4882e-11	885	205.265	679.735	NA	478	151.167	326.833	NA	NA	1.28844	1:1:1:1:1:1	0.219697(0.254187:0.201555:0.203349)	NA	NA	NA	NA
Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1-Vmic_vmicro05697-RA_Vaccinium_microcarpum_v1	NG	0.723503	NA	NA	3.40231e-16	1065	249.383	815.617	NA	566	187.417	378.583	NA	NA	0.319922	1:1:1:1:1:1	0.207935(0.235048:0.197368:0.191388)	NA	NA	NA	NA
Vmic_vmicro07721-RA_Vaccinium_microcarpum_v1-Vmic_vmicro21395-RA_Vaccinium_microcarpum_v1	NG	0.322765	3.03236	0.10644	3.72903e-60	1581	367.333	1213.67	NA	589	270.667	318.333	NA	NA	0.952317	1:1:1:1:1:1	0.33114(0.363636:0.297847:0.331938)	NA	NA	NA	NA
Vmic_vmicro07721-RA_Vaccinium_microcarpum_v1-Vmic_vmicro08677-RA_Vaccinium_microcarpum_v1	NG	0.268176	1.82157	0.147222	1.81975e-48	1323	304.751	1018.25	NA	438	208.417	229.583	NA	NA	0.625999	1:1:1:1:1:1	0.278708(0.324761:0.245813:0.26555)	NA	NA	NA	NA
Vmic_vmicro07721-RA_Vaccinium_microcarpum_v1-Vmic_vmicro05697-RA_Vaccinium_microcarpum_v1	NG	0.859514	2.74649	0.31295	3.40596e-12	1332	312.925	1019.07	NA	750	228.667	521.333	NA	NA	1.30282	1:1:1:1:1:1	0.266946(0.305622:0.241627:0.253589)	NA	NA	NA	NA
Vmic_vmicro21395-RA_Vaccinium_microcarpum_v1-Vmic_vmicro08677-RA_Vaccinium_microcarpum_v1	NG	0.228541	1.57032	0.145538	8.14512e-49	1284	297.554	986.446	NA	390	195.667	194.333	NA	NA	0.539486	1:1:1:1:1:1	0.30323(0.333134:0.273325:0.30323)	NA	NA	NA	NA
Vmic_vmicro21395-RA_Vaccinium_microcarpum_v1-Vmic_vmicro05697-RA_Vaccinium_microcarpum_v1	NG	0.857726	NA	NA	2.23159e-15	1263	297.258	965.742	NA	721	227.5	493.5	NA	NA	0.420494	1:1:1:1:1:1	0.291467(0.313995:0.269139:0.291268)	NA	NA	NA	NA
Vmic_vmicro08677-RA_Vaccinium_microcarpum_v1-Vmic_vmicro05697-RA_Vaccinium_microcarpum_v1	NG	0.79846	NA	NA	2.23945e-16	1113	256.184	856.816	NA	619	198	421	NA	NA	0.3845	1:1:1:1:1:1	0.239035(0.27512:0.217105:0.22488)	NA	NA	NA	NA
